name,weight,HR,handedness,height,avg,BMI,height_degree
Ken Retzer,185,14,L,72,0.264,25.088,Medium
Mike Brown,195,23,R,74,0.265,25.034,Medium
Greg Walker,205,113,L,75,0.26,25.62,Medium
Terry Harper,195,36,R,76,0.253,23.734,Medium
Jerry Royster,165,40,R,72,0.249,22.376,Medium
Barry Bonnell,190,56,R,75,0.272,23.746,Medium
Tom Seaver,195,12,R,73,0.154,25.724,Medium
Jerry Martin,195,85,R,73,0.251,25.724,Medium
Bill Stein,170,44,R,70,0.267,24.39,Medium
Joel Youngblood,180,80,R,72,0.265,24.41,Medium
Reggie Jackson,195,563,L,72,0.262,26.444,Medium
Sonny Jackson,150,7,L,69,0.251,22.149,Medium
Rodney Scott,160,3,B,72,0.236,21.698,Medium
Rich Coggins,170,12,L,68,0.265,25.846,Medium
Phil Gagliano,180,14,R,73,0.238,23.746,Medium
Jerry McNertney,180,27,R,72,0.237,24.41,Medium
Mitchell Page,205,72,L,74,0.266,26.318,Medium
Kiko Garcia,180,12,R,71,0.239,25.102,Medium
Larry Milbourne,161,11,B,72,0.254,21.833,Medium
Bill Sudakis,190,59,B,73,0.234,25.065,Medium
Domingo Ramos,154,8,R,70,0.24,22.094,Medium
Ron Oester,185,42,B,74,0.265,23.75,Medium
Glenn Adams,180,34,L,73,0.28,23.746,Medium
Joe Morgan,160,268,L,67,0.271,25.057,Short
R.J. Reynolds,190,35,B,72,0.267,25.766,Medium
Lee Thomas,195,106,L,74,0.255,25.034,Medium
Ray Fosse,215,61,R,74,0.256,27.601,Medium
Paul Popovich,175,14,B,72,0.233,23.732,Medium
John Stephenson,180,12,L,71,0.216,25.102,Medium
Doug Clemens,180,12,L,72,0.229,24.41,Medium
Orlando Mercado,180,7,R,72,0.199,24.41,Medium
Charley Smith,170,69,R,73,0.239,22.426,Medium
Buddy Biancalana,160,6,B,71,0.205,22.313,Medium
Bob Uecker,190,14,R,73,0.2,25.065,Medium
Felix Torres,165,27,R,71,0.254,23.01,Medium
Steve Braun,180,52,L,70,0.271,25.824,Medium
Ray Knight,185,84,R,73,0.271,24.405,Medium
Ty Cline,170,6,L,72,0.238,23.054,Medium
Thad Bosley,175,20,L,75,0.272,21.871,Medium
Bobby Grich,180,224,R,74,0.266,23.108,Medium
Jimmie Hall,175,121,L,72,0.254,23.732,Medium
John Boccabella,195,26,R,73,0.219,25.724,Medium
Brock Davis,160,1,L,70,0.26,22.955,Medium
Curt Blefary,195,112,L,74,0.237,25.034,Medium
Mack Jones,180,133,L,73,0.252,23.746,Medium
Buddy Bradford,170,52,R,71,0.226,23.708,Medium
Hosken Powell,175,17,L,73,0.259,23.086,Medium
Dave Stapleton,178,41,R,73,0.271,23.482,Medium
Gary Ward,195,130,R,74,0.276,25.034,Medium
Jim Lonborg,200,3,R,77,0.136,23.714,Tall
Joe Lis,175,32,R,72,0.233,23.732,Medium
Dan Meyer,180,86,L,71,0.253,25.102,Medium
Jim Holt,180,19,L,72,0.265,24.41,Medium
Larry Herndon,190,107,R,75,0.274,23.746,Medium
Wallace Johnson,173,5,B,72,0.255,23.46,Medium
Eddie Leon,170,24,R,72,0.236,23.054,Medium
Jim Wohlford,175,21,R,71,0.26,24.405,Medium
J.R. Richard,222,10,R,80,0.168,24.385,Tall
Bill Voss,160,19,L,74,0.227,20.541,Medium
Keith Moreland,190,121,R,72,0.279,25.766,Medium
Alex Johnson,205,78,R,72,0.288,27.8,Medium
Wayne Krenchicki,180,15,L,73,0.266,23.746,Medium
Dave Rosello,160,10,R,71,0.236,22.313,Medium
Paul Schaal,165,57,R,71,0.244,23.01,Medium
Tito Landrum,175,13,R,71,0.249,24.405,Medium
Dave Edwards,170,14,R,72,0.237,23.054,Medium
Mario Guerrero,155,7,R,70,0.257,22.238,Medium
Tom Tresh,180,153,B,73,0.245,23.746,Medium
Ron Roenicke,180,17,B,72,0.238,24.41,Medium
Doug Griffin,160,7,R,72,0.245,21.698,Medium
Steve Blass,165,1,R,72,0.172,22.376,Medium
Johnnie LeMaster,165,22,R,74,0.222,21.182,Medium
Nate Oliver,160,2,R,70,0.226,22.955,Medium
Ray Sadecki,180,5,L,71,0.191,25.102,Medium
Ken Rudolph,180,6,R,73,0.213,23.746,Medium
Wayne Nordhagen,205,39,R,74,0.282,26.318,Medium
Biff Pocoroba,175,21,B,70,0.257,25.107,Medium
Len Matuszek,190,30,L,74,0.234,24.392,Medium
Joe Lefebvre,170,31,L,70,0.258,24.39,Medium
Jim Maloney,190,7,L,74,0.201,24.392,Medium
Andre Robertson,155,5,R,70,0.251,22.238,Medium
Jerry Zimmerman,185,3,R,74,0.204,23.75,Medium
Chet Lemon,190,215,R,72,0.273,25.766,Medium
Phil Mankowski,180,8,L,72,0.264,24.41,Medium
Cleon Jones,185,93,R,72,0.281,25.088,Medium
Joaquin Andujar,170,5,B,72,0.127,23.054,Medium
Mike Lum,180,90,L,72,0.247,24.41,Medium
Johnny Grubb,175,99,L,75,0.278,21.871,Medium
Curt Motton,164,25,R,68,0.213,24.933,Medium
Johnny Bench,197,389,R,73,0.267,25.988,Medium
Dale Berra,180,49,R,72,0.236,24.41,Medium
Bob Meacham,175,8,B,73,0.236,23.086,Medium
Carl Warwick,170,31,R,70,0.248,24.39,Medium
Sam Bowens,188,45,R,73,0.223,24.801,Medium
George Wright,180,42,B,71,0.245,25.102,Medium
Luis Aguayo,173,37,R,69,0.236,25.545,Medium
Hal Lanier,180,8,R,74,0.228,23.108,Medium
Len Randle,169,27,B,70,0.257,24.246,Medium
Greg Pryor,180,14,R,72,0.25,24.41,Medium
Jim Traber,194,27,L,72,0.227,26.308,Medium
Dave Nelson,160,20,R,70,0.244,22.955,Medium
Lynn Jones,175,7,R,69,0.252,25.84,Medium
Bryan Little,160,3,B,70,0.245,22.955,Medium
Ken Suarez,175,5,R,69,0.227,25.84,Medium
Rick Peters,170,2,B,69,0.277,25.102,Medium
Ron Stone,185,6,L,74,0.241,23.75,Medium
Tommie Agee,195,130,R,71,0.255,27.194,Medium
Bob Bailey,180,189,R,73,0.257,23.746,Medium
Cap Peterson,195,19,R,74,0.23,25.034,Medium
Ted Uhlaender,190,36,L,74,0.263,24.392,Medium
Ted Simmons,193,248,B,71,0.285,26.915,Medium
Bobby Murcer,160,252,L,71,0.277,22.313,Medium
Dick Tracewski,160,8,R,71,0.213,22.313,Medium
Bill Nahorodny,200,25,R,74,0.241,25.676,Medium
Bill Madlock,180,163,R,71,0.305,25.102,Medium
Bob Boone,195,105,R,74,0.254,25.034,Medium
Steve Kemp,195,130,L,72,0.278,26.444,Medium
Rick Burleson,165,50,R,70,0.273,23.672,Medium
Carl Taylor,200,10,R,74,0.266,25.676,Medium
Terry Harmon,180,4,R,74,0.233,23.108,Medium
Mike Hargrove,195,80,L,72,0.29,26.444,Medium
