name,weight,HR,handedness,height,avg,BMI,height_degree
Ed Romero,160,8,R,71,0.247,22.313,Medium
Rick Joseph,192,13,R,73,0.243,25.329,Medium
Cecil Cooper,165,241,L,74,0.298,21.182,Medium
Bill Almon,180,36,R,75,0.254,22.496,Medium
Joe Ferguson,200,122,R,74,0.24,25.676,Medium
Jerry Terrell,165,4,R,71,0.253,23.01,Medium
Dave Revering,210,62,L,76,0.265,25.559,Medium
Curt Ford,150,7,L,70,0.245,21.52,Medium
Jerry Dybzinski,180,3,R,74,0.234,23.108,Medium
Bob Burda,174,13,L,71,0.224,24.265,Medium
Jesse Gonder,180,26,L,70,0.251,25.824,Medium
Gary Sutherland,185,24,R,72,0.243,25.088,Medium
Bob Coluccio,183,26,R,71,0.22,25.521,Medium
Dave Rader,165,30,L,71,0.257,23.01,Medium
Ron Gardenhire,175,4,R,72,0.232,23.732,Medium
Bill Sharp,178,9,L,70,0.255,25.538,Medium
Alan Bannister,170,19,R,71,0.27,23.708,Medium
Bob Watson,201,184,R,72,0.295,27.258,Medium
Ken Harrelson,190,131,R,74,0.239,24.392,Medium
Bobby Wine,187,30,R,73,0.215,24.669,Medium
John Kennedy,185,32,R,72,0.225,25.088,Medium
Chico Ruiz,169,2,B,72,0.24,22.918,Medium
Gail Hopkins,198,25,L,70,0.266,28.407,Medium
Doug Frobel,196,20,L,76,0.201,23.855,Medium
Luis Melendez,165,9,R,72,0.248,22.376,Medium
Bill Plummer,190,14,R,73,0.188,25.065,Medium
Buck Rodgers,190,31,B,74,0.232,24.392,Medium
Phil Niekro,180,7,R,73,0.169,23.746,Medium
Tom Poquette,175,10,L,70,0.268,25.107,Medium
Brian Asselstine,175,12,L,73,0.254,23.086,Medium
Rick Miller,175,28,L,72,0.269,23.732,Medium
Ed Charles,170,86,R,70,0.263,24.39,Medium
Luis Gomez,150,0,R,69,0.21,22.149,Medium
Floyd Rayford,190,38,R,70,0.244,27.259,Medium
Tony Conigliaro,185,166,R,75,0.264,23.121,Medium
Jim Barr,205,1,R,75,0.162,25.62,Medium
Jerry Remy,165,7,L,69,0.275,24.364,Medium
Frank Duffy,180,26,R,73,0.232,23.746,Medium
Tom O'Malley,180,13,L,72,0.256,24.41,Medium
Phil Garner,175,109,R,70,0.26,25.107,Medium
